dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Records,1290882,2025,Target Budget,YTD,2024-09-30,Department of Records,31,Records
Register of Wills,1028379,2025,Target Budget,YTD,2024-09-30,Register of Wills,68,
Revenue,7774158,2025,Target Budget,YTD,2024-09-30,Department of Revenue,36,Revenue
Sheriff,8411063,2025,Target Budget,YTD,2024-09-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),168042809,2025,Target Budget,YTD,2024-09-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,15520868,2025,Target Budget,YTD,2024-09-30,Streets: Disposal,12-D,
Streets,23749557,2025,Target Budget,YTD,2024-09-30,Streets Department,12,Streets
Art Museum Subsidy,0,2025,Actual,YTD,2024-09-30,Art Museum,34,
Auditing (City Controller's Office),2569710,2025,Actual,YTD,2024-09-30,City Controller's Office,61,
Board of Ethics,232149,2025,Actual,YTD,2024-09-30,Board of Ethics,45,
Board of Revision of Taxes,268031,2025,Actual,YTD,2024-09-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),9680704,2025,Actual,YTD,2024-09-30,City Commissioner's Office,73,City Commissioners
City Council,5059283,2025,Actual,YTD,2024-09-30,City Council,01,
City Treasurer,458401,2025,Actual,YTD,2024-09-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,32250,2025,Actual,YTD,2024-09-30,Civil Service Commission,55,
Commerce,2817775,2025,Actual,YTD,2024-09-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2025,Actual,YTD,2024-09-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,21773394,2025,Actual,YTD,2024-09-30,Commerce: Economic Stimulus,42-ES,
District Attorney,13583868,2025,Actual,YTD,2024-09-30,District Attorney's Office,69,DAO
Finance,7612918,2025,Actual,YTD,2024-09-30,Office of the Director of Finance,35,Finance
